yi'ge 一个
you'yu 由于
wu'fa 无法
xiang'xi 详细
tou'zi 投资
shi'yi'ge 是一个
yi'ban 一般
jin'ru 进入
fa'sheng 发生
zhe'li 这里
gan'jue 感觉
geng'duo 更多
ni'men 你们
de'hua 的话
qi'lai 起来
biao'zhun 标准
yi'yang 一样
ren'wei 认为
nv'ren 女人
na'ge 那个
she'bei 设备
sou'suo 搜索
zhi'hou 之后
ran'hou 然后
xue'xiao 学校
xiao'shou 销售
zu'zhi 组织
shuo'ming 说明
ti'gao 提高
wei'shen'me 为什么
zuo'pin 作品
huo'zhe 或者
xi'huan 喜欢
dong'xi 东西
fang'mian 方面
jian'jie 简介
bi'xu 必须
jing'ying 经营
ke'ji 科技
zuo'wei 作为
qi'zhong 其中
yun'xing 运行
gong'cheng 工程
jie'jue 解决
cao'zuo 操作
jing'yan 经验
di'qu 地区
zhong'yao 重要
zhi'jie 直接
deng'lu 登录
he'zuo 合作
jie'guo 结果
ying'xiang 影响
zhe'shi 这是
xing'ye 行业
dui'yu 对于
biao'shi 表示
cheng'xu 程序
bao'kuo 包括
liu'yan 留言
gui'ding 规定
chu'li 处理
nan'ren 男人
ge'zhong 各种
bu'men 部门
shu'ju 数据
ju'you 具有
shang'pin 商品
xi'lie 系列
da'xiao 大小
yin'ci 因此
guan'xi 关系
ke'shi 可是
bi'jiao 比较
wen'hua 文化
yi'zhi 一直
fa'lv 法律
zhe'me 这么
nin'de 您的
cheng'shi 城市
fen'xi 分析
ji'ben 基本
zui'da 最大
lei'bie 类别
liang'ge 两个
ri'ben 日本
de'dao 得到
yi'ci 一次
ji'xu 继续
cheng'gong 成功
ta'de 她的
ze'ren 责任
shen'zhen 深圳
ye'wu 业务
huan'ying 欢迎
jia'ru 加入
neng'gou 能够
jue'de 觉得
bu'fen 部分
zhong'wen 中文
gen'ju 根据
ren'min 人民
zheng'fu 政府
kong'zhi 控制
qi'shi 其实
zhi'jian 之间
yi'zhong 一种
wei'wang 威望
shi'xian 实现
yu'yan 语言
chu'lai 出来
xie'xie 谢谢
she'qu 社区
pin'pai 品牌
shi'fou 是否
gong'ju 工具
wan'quan 完全
jue'ding 决定
hen'duo 很多
wang'shang 网上
shi'qing 事情
jin'nian 今年
guo'nei 国内
yi'hou 以后
zhi'zuo 制作
liu'lan 浏览
guo'cheng 过程
wan'cheng 完成
lei'xing 类型
lai'yuan 来源
zhi'liang 质量
you'xie 有些
yi'qi 一起
dang'ran 当然
qi'che 汽车
yi'dian 一点
bang'zhu 帮助
zeng'jia 增加
li'shi 历史
yi'xia 以下
bu'duan 不断
ying'yong 应用
na'xie 那些
mi'ma 密码
ji'hua 计划
ru'ci 如此
ci'shu 次数
dao'le 到了
yong'you 拥有
hai'zi 孩子
yuan'yin 原因
can'jia 参加
zhi'yao 只要
bao'gao 报告
dang'qian 当前
ke'hu 客户
zheng'zai 正在
zhu'yi 注意
biao'ti 标题
kong'jian 空间
yi'ding 一定
yi'qie 一切
te'bie 特别
quan'bu 全部
zhun'bei 准备
jian'li 建立
ge'qu 歌曲
xiang'gang 香港
zhuan'jia 专家
shou'quan 授权
zi'dong 自动
she'zhi 设置
huo'de 获得
guang'zhou 广州
xiao'guo 效果
ji'tuan 集团
shou'cang 收藏
mu'biao 目标
fa'tie 发帖
cai'neng 才能
quan'xian 权限
ji'gou 机构
jing'shen 精神
li'yong 利用
bao'hu 保护
bao'zheng 保证
sheng'yin 声音
jian'yi 建议
zhi'shi 知识
wo'shi 我是
shen'zhi 甚至
tu'ran 突然
xing'wei 行为
su'du 速度
di'yi 第一
jian'kang 健康
jing'guo 经过
zuo'yong 作用
jiao'liu 交流
ban'zhu 版主
bie'ren 别人
dai'biao 代表
he'he 呵呵
yi'jian 意见
gu'shi 故事
ling'dao 领导
ai'qing 爱情
zi'ran 自然
mo'shi 模式
an'zhuang 安装
ping'tai 平台
mei'nv 美女
ban'quan 版权
you'shen'me 有什么
cai'yong 采用
cun'zai 存在
ren'men 人们
fa'bu'shi'jian 发布时间
wo'guo 我国
cha'xun 查询
pei'xun 培训
ji'bie 级别
bian'ji 编辑
nu'li 努力
le'jie 了解
zhen'zheng 真正
gong'ying 供应
ji'hui 机会
zhuan'ji 专辑
jiao'xue 教学
xiao'shuo 小说
da'dao 达到
guang'dong 广东
shi'shi 实施
zhong'yu 终于
kan'kan 看看
jian'dan 简单
wo'ye 我也
chan'sheng 产生
kao'shi 考试
shen'ti 身体
jie'shou 接受
xiao'shi 小时
shui'ping 水平
yuan'lai 原来
bi'sai 比赛
pu'tong 普通
kuai'le 快乐
you'ren 有人
lv'you 旅游
yin'yong 引用
zuo'you 左右
guo'qu 过去
kuai'su 快速
yu'le 娱乐
zhi'du 制度
chu'le 除了
fen'lei 分类
zhi'xing 执行
zheng'ge 整个
ji'chu 基础
lao'shi 老师
li'xian 离线
tiao'jian 条件
xu'duo 许多
tai'wan 台湾
diao'cha 调查
hui'yi 会议
zi'xun 咨询
lai'shuo 来说
zheng'ce 政策
jian'zhu 建筑
jiao'yi 交易
lie'biao 列表
qi'ta 其它
bu'cuo 不错
ha'ha 哈哈
ban'ben 版本
zhi'yi 之一
zhi'ye 职业
fang'wen 访问
jie'gou 结构
yin'xing 银行
cai'liao 材料
ying'yu 英语
shi'pin 视频
ji'lu 记录
tong'zhi 通知
zheng'chang 正常
fu'ze 负责
shen'qing 申请
quan'mian 全面
you'xian 有限
xia'mian 下面
zhao'dao 找到
bao'chi 保持
zhi'neng 只能
gou'mai 购买
ta'men'de 他们的
shu'liang 数量
zong'he 综合
ge'ci 歌词
fu'wu'qi 服务器
yan'jing 眼睛
ling'wai 另外
lian'jie 链接
shi'shen'me 是什么
ju'ti 具体
ji'suan'ji 计算机
zeng'chang 增长
ban'fa 办法
kan'zhe 看着
mei'ti 媒体
zi'jin 资金
quan'qiu 全球
fang'an 方案
diao'zheng 调整
ke'xue 科学
tui'chu 推出
guan'zhu 关注
dian'shi 电视
wo'xiang 我想
zao'cheng 造成
dang'shi 当时
jia'ting 家庭
shen'shang 身上
chao'ji 超级
gong'gao 公告
shi'bu'shi 是不是
ji'ge 几个
you'dian 有点
si'xiang 思想
zhong'dian 重点
ye'xu 也许
zhong'hua 中华
gai'bian 改变
jia'qiang 加强
lian'jie 连接
wo'jiu 我就
you'xiao 有效
shi'ji 实际
yi'qian 以前
ti'chu 提出
you'yi 有一
xian'sheng 先生
ren'wu 任务
zhe'yi 这一
men'pai 门派
xiao'xi 消息
chuan'zhen 传真
jiu'hui 就会
shi'fen 十分
biao'xian 表现
zui'jin 最近
yuan'chuang 原创
chan'ye 产业
shi'dai 时代
yi'yuan 医院
mei'yuan 美元
wei'lai 未来
shi'ge 是个
gai'ge 改革
gong'ye 工业
yi'dong 移动
li'liang 力量
shuo'dao 说道
yi'sheng 一声
ru'guo'ni 如果你
xian'jin 现金
da'kai 打开
yu'shi 于是
bian'hua 变化
bu'shao 不少
xing'fu 幸福
wo'yao 我要
an'zhao 按照
bing'qie 并且
cuo'wu 错误
xian'dai 现代
bu'zhi 不知
jian'cha 检查
ye'mian 页面
shang'ye 商业
zhe'ci 这次
you'jian 邮件
wang'zhi 网址
ce'shi 测试
gen'ben 根本
pin'dao 频道
si'hu 似乎
bian'hao 编号
shang'shi 上市
bu'de 不得
zhi'qian 之前
jiao'shi 教师
xia'lai 下来
mei'li 美丽
li'kai 离开
ren'cai 人才
gong'tong 共同
zheng'shi 正式
deng'lu 登陆
jing'dian 经典
shan'chu 删除
chuan'tong 传统
zhe'jiang 浙江
li'mian 里面
sui'zhe 随着
bu'jin 不仅
ye'bu 也不
tian'jia 添加
ji'hu 几乎
dui'fang 对方
kai'zhan 开展
geng'jia 更加
fan'wei 范围
sheng'ming 生命
zhao'pian 照片
xu'qiu 需求
zhi'liao 治疗
chao'guo 超过
zhong'xin 重新
da'liang 大量
ren'shi 认识
nv'hai 女孩
ren'sheng 人生
zhen'shi 真是
hu'lian'wang 互联网
xing'zheng 行政
xin'li 心里
rang'wo 让我
xing'cheng 形成
yong'yuan 永远
ji'ji 积极
yi'shu 艺术
you'le 有了
tao'lun 讨论
yi'wei 一位
zong'shi 总是
qu'de 取得
ti'shi 提示
zhu'ce'shi'jian 注册时间
shang'wu 商务
wen'zi 文字
jin'yi'bu 进一步
jie'shu 结束
shi'zai 是在
gan'dao 感到
wan'yuan 万元
ming'zi 名字
gei'wo 给我
zi'you 自由
mei'tian 每天
chuang'xin 创新
tong'ji 统计
bu'ke 不可
mei'li 魅力
yi'lai 以来
fang'bian 方便
ceng'jing 曾经
cheng'du 程度
jiao'tong 交通
shou'dao 受到
shou'quan'fang'shi 授权方式
zhi'zao 制造
jin'qian 金钱
ge'shou 歌手
ben'di 本地
can'yu 参与
xue'yuan 学院
hou'lai 后来
ling'sheng 铃声
xin'qing 心情
ken'ding 肯定
jing'cai 精彩
bu'yong 不用
zhong'yang 中央
rang'ren 让人
dou'you 都有
ji'xie 机械
han'guo 韩国
dai'li 代理
shi'shang 时尚
que'ding 确定
yue'lai'yue 越来越
wei'hu 维护
bu'zai 不再
xiang'xin 相信
wan'shang 晚上
guan'dian 观点
guo'lai 过来
xiu'gai 修改
xing'shi 形式
yan'zhong 严重
yin'qi 引起
xian'chang 现场
te'dian 特点
gong'xian 贡献
dai'lai 带来
lai'le 来了
fa'xing 发行
mian'dui 面对
xin'zhong 心中
gao'su 告诉
kao'lv 考虑
liang'ren 两人
jia'zhi 价值
hui'da 回答
xuan'chuan 宣传
yun'xing'huan'jing 运行环境
shi'jian 事件
di'er 第二
ren'wu 人物
lai'dao 来到
bao'dao 报道
hai'mei'you 还没有
ru'guo'nin 如果您
kan'lai 看来
shou'xian 首先
shi'pin 食品
zen'yang 怎样
gao'ji 高级
dao'zhi 导致
tong'yang 同样
bian'cheng 变成
yun'dong 运动
zai'zhe'li 在这里
bo'fang 播放
ying'pian 影片
lian'xi'ren 联系人
ming'xian 明显
tian'xia 天下
cheng'li 成立
mu'de 目的
duo'shao 多少
mao'yi 贸易
shu'ru 输入
ye'you 也有
you'de 有的
shu'zi 数字
jin'ri 今日
jue'dui 绝对
shou'ru 收入
chang'qi 长期
jing'zheng 竞争
lou'zhu 楼主
hen'hao 很好
guan'li'yuan 管理员
zhuan'zai 转载
xin'li 心理
xing'dong 行动
an'pai 安排
dao'di 到底
tou'xian 头衔
jiang'su 江苏
wen'ding 稳定
zai'ci 再次
zuo'tian 昨天
shi'yi'zhong 是一种
zui'gao 最高
kan'jian 看见
bu'hao 不好
ge'shi 格式
jian'chi 坚持
nv'xing 女性
mu'lu 目录
hui'you 会有
dian'zhe'li 点这里
jing'chang 经常
hui'lai 回来
mian'qian 面前
xia'wu 下午
shi'ye 事业
na'yang 那样
fang'xiang 方向
liang'hao 良好
dian'xin 电信
shan'dong 山东
zi'xun 资讯
tong'xue 同学
shen'bian 身边
ren'lei 人类
feng'fu 丰富
gui'hua 规划
xiang'shou 享受
zheng'zhi 政治
hao'xiang 好像
chu'kou 出口
yi'tian 一天
zui'zhong 最终
shen'fen 身份
ma'shang 马上
kai'fang 开放
li'lun 理论
qu'nian 去年
yi'ding'yao 一定要
li'ji 立即
ma'ma 妈妈
er'shi 而是
shi'yin'wei 是因为
qi'jian 期间
tong'yi 统一
jing'ran 竟然
ping'jia 评价
zhao'pin 招聘
yi'nian 一年
jin'bi 金币
fen'bie 分别
you'shi 优势
xing'ming 姓名
ta'de 它的
ta'men 她们
ju'xing 举行
duan'xin 短信
can'kao 参考
yi'tiao 一条
cheng'ben 成本
gong'ji 攻击
ting'dao 听到
hen'da 很大
shuo'hua 说话
hui'fu 恢复
dong'zuo 动作
bo'ke 博客
nan'jing 南京
ru'xia 如下
ling'yu 领域
san'ge 三个
xiang'dang 相当
gong'you 共有
chong'fen 充分
wu'lun 无论
bu'dao 不到
jie'he 结合
feng'ge 风格
wan'jia 玩家
shu'yu 属于
ran'er 然而
yan'se 颜色
jia'gong 加工
fei'yong 费用
li'yi 利益
shi'zai 实在
mei'ge 每个
ming'bai 明白
wo'zai 我在
mian'ji 面积
fen'xiang 分享
yuan'gong 员工
jie'duan 阶段
zui'hao 最好
rong'yi 容易
dou'hui 都会
yi'duan 一段
ji'ke 即可
zhan'lve 战略
gan'qing 感情
ti'xi 体系
jiu'dian 酒店
ying'xiao 营销
qi'dong 启动
yang'guang 阳光
cheng'le 成了
lian'meng 联盟
zui'jia 最佳
zhi'dao 指导
zai'wo 在我
zhen'shi 真实
you'xiu 优秀
cuo'shi 措施
yi'yi 意义
yi'bian 一边
xia'qu 下去
hang'zhou 杭州
xiao'fei'zhe 消费者
li'jie 理解
ben'wen 本文
ji'shi 及时
bu'xiang 不想
bu'gan 不敢
xiao'fei 消费
xian'xiang 现象
jian'ti 简体
wen'xue 文学
te'se 特色
hai'yao 还要
deng'deng 等等
ben'ren 本人
tian'jin 天津
zhong'qing 重庆
ya'li 压力
sheng'ming 声明
fa'tie 发贴
shu'ma 数码
fu'qin 父亲
ren'shu 人数
wang'ye 网页
wo'bu 我不
ji'guan 机关
yu'dao 遇到
xun'su 迅速
dui'xiang 对象
yi'pian 一片
qiang'da 强大
yang'zi 样子
da'xing 大型
miao'shu 描述
qu'yu 区域
fa'hui 发挥
xin'shang 欣赏
bu'le 不了
rang'ni 让你
zhu'ye 主页
man'zu 满足
xing'neng 性能
te'shu 特殊
shang'chuan 上传
ji'qi 及其
gong'xiang 共享
jie'shi 解释
zhong'da 重大
fang'di'chan 房地产
bing'bu 并不
xian'shi 现实
ren'zhen 认真
cheng'ji 成绩
ying'wen 英文
jian'shao 减少
yuan'ze 原则
fa'chu 发出
jian'du 监督
qing'song 轻松
fa'song 发送
hui'dao 回到
dian'zhe'li'xia'zai 点这里下载
xun'lian 训练
ling'ren 令人
gui'ge 规格
ying'guo 英国
xian'jin 先进
nong'cun 农村
wei'yuan'hui 委员会
si'chuan 四川
zu'tu 组图
zhi'shao 至少
xun'zhao 寻找
hao'le 好了
lian'xi'dian'hua 联系电话
ren'qi 人气
zhi'zhong 之中
feng'xian 风险
pei'zhi 配置
cong'shi 从事
gui'fan 规范
hai'mei 还没
di'dian 地点
chuan'qi 传奇
piao'liang 漂亮
ji'di 基地
xing'xiang 形象
da'lu 大陆
gong'bu 公布
yi'si 意思
xiao'jie 小姐
zheng'ming 证明
xiong'di 兄弟
zhuang'kuang 状况
geng'xin'shi'jian 更新时间
fu'zhuang 服装
mu'qin 母亲
yin'su 因素
fang'zai 放在
he'tong 合同
cun'kuan 存款
biao'qing 表情
yi'zhang 一张
ren'jia 人家
ke'cheng 课程
jing'li 经历
chuang'zao 创造
chong'man 充满
na'zhong 那种
zheng'que 正确
cai'qu 采取
ri'zhi 日志
zhe'shi 这时
guan'jian 关键
cheng'dou 成都
ti'yu 体育
xin'shou 新手
xiang'dao 想到
ci'shi 此时
cu'jin 促进
fu'mu 父母
pei'yang 培养
ban'gong'shi 办公室
shang'mian 上面
guang'da 广大
ju'da 巨大
bi'ye 毕业
ta'men 它们
shang'wang 上网
fou'ze 否则
chu'qu 出去
shi'qu 失去
guan'kan 观看
nan'dao 难道
jin'guan 尽管
ji'shi 即使
zheng'li 整理
hao'ma 号码
bao'mi 保密
lian'shang 脸上
zan'wu 暂无
fa'gui 法规
nei'bu 内部
bu'guan 不管
ji'qing 激情
she'shi 设施
bi'ru 比如
chu'ban 出版
ming'que 明确
xie'yi 协议
tong'yi 同意
nong'ye 农业
jiu'zai 就在
qing'chu 清除
min'zu 民族
zheng'shi 正是
tui'guang 推广
tou'ru 投入
geng'hao 更好
gei'ni 给你
xie'hui 协会
hen'kuai 很快
yong'yu 用于
ge'wei 各位
yi'yuan 亿元
yi'chang 一场
quan'xin 全新
xiang'yao 想要
fan'hui 返回
na'li 那里
wan'mei 完美
zi'jie 字节
ji'zhong 集中
ju'ran 居然
liu'xia 留下
fan'ying 反应
liu'xing 流行
yi'fu 衣服
tu'po 突破
nv'zi 女子
ben'lai 本来
zheng'wen 正文
deng'dai 等待
gui'mo 规模
ge'di 各地
you'ke 游客
geng'shi 更是
guo'wai 国外
bu'ke'neng 不可能
hui'jia 回家
ju'le'bu 俱乐部
qun'zhong 群众
zhang'wo 掌握
wan'shan 完善
you'qing 友情
dan'xin 担心
shi'li 实力
bao'xian 保险
wei'zhi 未知
dai'kuan 贷款
wo'hai 我还
du'li 独立
bing'mei'you 并没有
nong'min 农民
dong'fang 东方
xian'zhi 限制
dai'zhe 带着
ren'shi 人士
ling'yi 另一
bao'zhuang 包装
de'guo 德国
wei'yi 唯一
wo'hui 我会
er'zi 儿子
sheng'ji 升级
wu'guan 无关
yi'ming 一名
kan'le 看了
gan'xie 感谢
hao'you 好友
yi'sheng 医生
dai'ma 代码
cheng'yuan 成员
jiu'yao 就要
gong'kai 公开
zi'wo 自我
ren'zheng 认证
reng'ran 仍然
gan'bu 干部
zi'ge 资格
gao'shou 高手
ke'ai 可爱
tian'kong 天空
dou'bu 都不
tai'duo 太多
zu'cheng 组成
kun'nan 困难
yi'liao 医疗
xiao'xue 小学
yi'ran 依然
zi'ti 字体
ying'dang 应当
ta'shuo 他说
ban'quan'suo'you 版权所有
suo'zai 所在
bian'de 变得
zhu'ming 著名
shuang'fang 双方
zhi'dao 直到
lian'he 联合
chu'shou 出售
zhan'shi 展示
zhen'dui 针对
yi'zhi 一只
ye'hui 也会
gang'gang 刚刚
xing'hao 型号
gong'he'guo 共和国
zhuan'ti 专题
dui'wo 对我
wei'sheng 卫生
zai'ta 在他
re'xian 热线
ni'shi 你是
fu'he 符合
wan'zheng 完整
jian'dao 见到
qiang'lie 强烈
yong'pin 用品
zhan'zheng 战争
wu'han 武汉
ming'tian 明天
jie'mian 界面
er'tong 儿童
suo'wei 所谓
te'bie'shi 特别是
yi'jia 一家
zhi'ding 制定
zuo'hao 做好
tu'di 土地
jiu'xiang 就像
xiang'ying 相应
jing'pin 精品
jin'rong 金融
que'shi 确实
ri'zi 日子
shi'jian 实践
xiang'guan'nei'rong 相关内容
lao'ban 老板
guan'bi 关闭
ben'di'xia'zai 本地下载
ti'sheng 提升
ren'min'bi 人民币
jin'kou 进口
you'ge 有个
wang'ji 忘记
xing'gan 性感
ji'de 记得
dang'di 当地
man'man 慢慢
mo'fa 魔法
zai'zhe'ge 在这个
zhi'chu 指出
tu'shu 图书
cheng'dan 承担
jie'hun 结婚
dong'hua 动画
zhi'neng 智能
ou'zhou 欧洲
si'wang 死亡
lian'xu 连续
xiu'xian 休闲
guo'chan 国产
ying'shi 影视
zheng'ti 整体
fang'qi 放弃
ji'suan 计算
bao'zhang 保障
nv'er 女儿
ge'lei 各类
bu'zu 不足
da'an 答案
shi'ta 是他
zhui'qiu 追求
wo'shuo 我说
qu'le 去了
bao'jia 报价
shi'xing 实行
he'xin 核心
chu'le 出了
tai'du 态度
gang'cai 刚才
zhuang'bei 装备
nv'sheng 女生
cai'gou 采购
cheng'ren 成人
ju'jue 拒绝
zhe'wei 这位
zu'he 组合
yi'zhen 一阵
you'bian 邮编
zhi'de 值得
zhuan'yong 专用
li'chang 立场
chu'ban'she 出版社
qing'wen 请问
nian'qing 年轻
fu'jian 附件
yan'qian 眼前
ping'jun 平均
gu'fen 股份
wo'kan 我看
lian'xi'fang'shi 联系方式
zhuan'men 专门
ji'jin 基金
jiang'di 降低
ji'qiao 技巧
wu'men 无门
fa'guo 法国
bing'du 病毒
jie'mu 节目
fu'jin 附近
shi'he 适合
nian'ling 年龄
chuang'jian 创建
di'shuo 地说
li'you 理由
zan'shi 暂时
sheng'wu 生物
ying'xiong 英雄
zheng'quan 证券
nan'yi 难以
zhuang'xiu 装修
pei'he 配合
ben'shen 本身
cong'er 从而
ju'li 距离
wu'pai 无派
zou'le 走了
re'men 热门
li'ke 立刻
qing'chu 清楚
you'suo 有所
he'nan 河南
zeng'qiang 增强
da'zao 打造
bi'mian 避免
ying'pan 硬盘
chuang'ye 创业
ming'xing 明星
ji'neng 技能
ren'min'gong'he'guo 人民共和国
quan'li 权利
zhi'wai 之外
ben'shu 本书
gao'su'wo 告诉我
ji'jiang 即将
bao'ming 报名
zhong'hua'ren'min 中华人民
jian'ce 检测
duo'zhong 多种
di'wei 地位
qing'nian 青年
wang'wang 往往
chi'xu 持续
shou'duan 手段
cheng'chang 成长
jie'ya 解压
dong'tai 动态
jiao'shou 教授
jing'li 经理
shu'ju'ku 数据库
xing'bie 性别
zi'chan 资产
can'shu 参数
tong'xin 通信
xiang'dui 相对
nan'zi 男子
wu'qi 武器
shou'fei 收费
xiao'shi 消失
hou'mian 后面
zhan'zai 站在
wo'jue'de 我觉得
pi'fu 皮肤
bei'jing 背景
hai'ke'yi 还可以
jian'ti'zhong'wen 简体中文
shou'zhong 手中
bi'jing 毕竟
rang'ta 让他
ji'zhi 机制
you'hui 优惠
guo'le 过了
cai'wu 财务
shi'yong 实用
jiu'suan 就算
shang'wu 上午
yi'fen 一份
mei'ci 每次
ban'li 办理
yi'shi 意识
zhi'shu 指数
mei'nian 每年
zi'shen 自身
ni'ke'yi 你可以
zhi'fu 支付
bu'ru 不如
xiang'xi'xin'xi 详细信息
xi'guan 习惯
gao'du 高度
tian'shi 天使
fen'zhong 分钟
que'bao 确保
qing'qing 轻轻
dou'zai 都在
zhong'shi 重视
he'li 合理
zhong'zi 种子
bi'ji'ben 笔记本
zhao'kai 召开
da'yin 打印
gao'su 高速
yan'ge 严格
wei'yu 位于
zhong'xue 中学
dang'yuan 党员
da'hui 大会
wei'xian 危险
shi'you 是有
hai'zai 还在
ping'fang'mi 平方米
dang'an 档案
yong'hu'ming 用户名
ming'ling 命令
di'yi'ge 第一个
you'xiang 邮箱
dui'shou 对手
pai'she 拍摄
fan'ying 反映
po'huai 破坏
tou'piao 投票
hua'ti 话题
mi'mi 秘密
di'tu 地图
lv'se 绿色
er'yi 而已
shang'hai 伤害
jin'zhang 紧张
ban'gong 办公
zui'hao'de 最好的
jia'shang 加上
shi'qi 时期
you'shi 又是
yi'jian 一件
gan'shou 感受
lao'dong 劳动
deng'ji 登记
gou'wu 购物
lai'kan 来看
ti'xing 提醒
si'fu 私服
su'zhi 素质
nei'cun 内存
ni'jiu 你就
hu'ran 忽然
que'shi 却是
tong'ku 痛苦
zhuan'qian 赚钱
bao'han 包含
shu'biao 鼠标
you'qi'shi 尤其是
yi'yan 一眼
shao'nv 少女
xiao'hua 笑话
hao'xiang 好象
cai'fu 财富
na'shi 那是
xiang'tong 相同
dui'ci 对此
kai'xin 开心
yi'sheng 一生
hei'se 黑色
ji'ran 既然
wen'dao 问道
wei'xiao 微笑
zhong'jian 中间
shao'nian 少年
chuang'kou 窗口
ge'xiang 各项
hao'hao 好好
tie'zi 贴子
tiao'zhan 挑战
guang'fan 广泛
bao'liu 保留
zuo'chu 做出
yi'kuan 一款
tui'jin 推进
ben'ye 本页
fu'zhi 复制
shi'shi 事实
ru'jin 如今
you'zhe 有着
suo'shu 所属
xue'hui 学会
na'jiu 那就
wu'pin 物品
gu'piao 股票
wu'xian 无限
dou'yao 都要
zu'qiu 足球
da'jia'dou 大家都
zuo'zai 坐在
xi'yin 吸引
ji'piao 机票
xian'de 显得
liao'tian 聊天
duo'nian 多年
chang'shang 厂商
zen'me'ban 怎么办
jiu'neng 就能
li'ru 例如
ju'ban 举办
ren'da 人大
fang'wu 房屋
tian'di 天地
qi'dai 期待
kuo'da 扩大
gei'yu 给予
feng'kuang 疯狂
rang'wo'men 让我们
mian'fei'ban 免费版
zhou'wei 周围
wei'zhu 为主
zuo'jia 作家
zhu'dong 主动
sui'shi 随时
jiao'se 角色
zhuan'huan 转换
wen'ben 文本
fu'jian 福建
fu'ze'ren 负责人
dong'wu 动物
wei'jing 未经
jie'jie 姐姐
shi'da 十大
ta'shi 他是
xiao'yuan 校园
shou'ci 首次
yi'dan 一旦
jie'kou 接口
zhu'guan 主管
ye'jiu 也就
xia'zai'ci'shu 下载次数
li'xiang 理想
xia'jiang 下降
da'xue'sheng 大学生
shang'shu 上述
xiao'dao 笑道
zhu'jian 逐渐
zi'xing 自行
shi'zhong 始终
shu'xi 熟悉
yi'ju 一句
se'cai 色彩
guan'xin 关心
wen'ming 文明
hu'nan 湖南
you'shi 有时
wei'he 为何
zhuan'lan 专栏
he'bei 河北
duo'ge 多个
yao'shi 要是
huo'xu 或许
shi'ji 世纪
xu'ke'zheng 许可证
wei'xiu 维修
gong'xiang'ban 共享版
ya'zhou 亚洲
qing'gan 情感
shi'de 使得
